ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",1211,"New York, NY","16000US3651000","new-york-ny",2382,0.00027624764313907317
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",8975,"New York, NY","16000US3651000","new-york-ny",77127,0.008944648183202055
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",25451,"New York, NY","16000US3651000","new-york-ny",1230140,0.14266300408526428
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",10242.479240886945,"New York, NY","16000US3651000","new-york-ny",157293,0.018241738258721343
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",11294.641649915238,"New York, NY","16000US3651000","new-york-ny",136003,0.01577267347180662
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",3661,"New York, NY","16000US3651000","new-york-ny",2715022,0.3180049177334386
0,"White Alone",1,"Hispanic or Latino",2016,"2016",20915,"New York, NY","16000US3651000","new-york-ny",912353,0.10686202200529347
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",7199.000000000001,"New York, NY","16000US3651000","new-york-ny",1877084,0.21985897093973966
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",12539,"New York, NY","16000US3651000","new-york-ny",196018,0.022959183374673637
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",2578,"New York, NY","16000US3651000","new-york-ny",14579,0.0017076081503707157
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",3878.9999999999995,"New York, NY","16000US3651000","new-york-ny",17227,0.002017762919708918
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",9273,"New York, NY","16000US3651000","new-york-ny",1195842,0.1400665028983893
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",2132,"New York, NY","16000US3651000","new-york-ny",10069,0.0011793611678498346
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",1388,"New York, NY","16000US3651000","new-york-ny",3387,0.00039671231259384146
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",917.0000000000001,"New York, NY","16000US3651000","new-york-ny",1553,0.00018189968156428574
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",8484,"New York, NY","16000US3651000","new-york-ny",74266,0.008698623149422565
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",25991,"New York, NY","16000US3651000","new-york-ny",1212693,0.14204022571489913
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",10211.292964164724,"New York, NY","16000US3651000","new-york-ny",168403,0.01972469547615609
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",11595.828258472959,"New York, NY","16000US3651000","new-york-ny",139177,0.016301514475899934
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",3724.0000000000005,"New York, NY","16000US3651000","new-york-ny",2740997,0.3205692595847799
0,"White Alone",1,"Hispanic or Latino",2015,"2015",20505,"New York, NY","16000US3651000","new-york-ny",898917,0.10513151131437634
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",8165,"New York, NY","16000US3651000","new-york-ny",1880360,0.2199147291853427
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",11485,"New York, NY","16000US3651000","new-york-ny",174777,0.02044078613820047
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",1992,"New York, NY","16000US3651000","new-york-ny",13807,0.001614777311717983
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",4206,"New York, NY","16000US3651000","new-york-ny",21810,0.0025507563676808293
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",7994.000000000001,"New York, NY","16000US3651000","new-york-ny",1196134,0.13989208698301425
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",2090,"New York, NY","16000US3651000","new-york-ny",9187,0.0010744520288805033
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",1054,"New York, NY","16000US3651000","new-york-ny",1654,0.00019344112939679466
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",270,"New York, NY","16000US3651000","new-york-ny",210,0.000024560240128976347
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",6852.999999999999,"New York, NY","16000US3651000","new-york-ny",71271,0.0083353946392013
